,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14
TCGA-05-4244-01,-2.8681778375672597,-1.253289579172114,1.0220750058071721,1.730619239032008,-0.36793536546319705,-0.17107947598120288,4.222821975025812,3.42328290253144,-1.1301303174623156,-0.805044154347872,-1.3466427210439404,2.2193083044633863,0.7180048159753724,-3.342483445962077
TCGA-05-4249-01,-3.2751283142718832,0.994489903696414,1.2923405786246918,0.9730249730707629,-4.142736346015184,1.2339654823437323,2.85154348549874,-0.16497709224961943,1.8453067444009366,3.125341178146972,-2.843556043441011,1.3842981061691917,2.197229482981017,0.26453922111366696
TCGA-05-4250-01,-1.929176205593882,-1.0383168478714748,-2.7444323567348294,-0.38705170673111977,-0.9901757083982595,-1.8904639528194749,-0.7270400964994879,0.632783453513655,1.1280257529192375,0.8603489247574703,1.9932240399592214,3.221086914122303,0.8004449873704016,0.7866565886328671
TCGA-05-4382-01,-1.4303683101060234,-1.0825672615104014,0.028306647296496797,-2.930915017661999,-1.3132306307534671,-0.9978072624569073,1.3719370445831276,0.6662012753741806,2.613443988981815,-0.07797851282905838,-1.4173155477494048,-1.127812877952817,-3.2810153290886106,1.5821678133663408
TCGA-05-4384-01,-2.533228646156623,0.8081862455262112,1.1359866182625682,-0.8641817886877611,-0.20861256860847804,0.1632169421719102,3.2980381911183767,0.464598035127988,0.8068546383208004,0.9337391321367724,2.5384147680706244,-3.490777999430918,1.857342683053144,1.8812941002988468
TCGA-05-4389-01,-2.0253267583619294,-3.3471781797798115,2.4624320856115354,-0.8786348797441332,-1.14598910934875,-0.28682968687599675,0.9706000012535124,2.8632185299994473,2.471881531438392,1.531368763095575,-0.6245309916961292,-0.35647755909107426,-2.5232492746015285,-3.4455072640900686
TCGA-05-4390-01,-2.451969332446447,-4.731139316680686,1.3508804533250245,10.302929828752,0.43447679233389447,2.7999015963489082,-1.2869613199035128,-2.039642400502254,5.245988753314342,-4.924711776149025,4.434462534117223,0.9637497310108357,-0.6597482374706484,1.9218911468488933
TCGA-05-4395-01,0.011811281012393473,-10.082709003411564,-4.049670570216674,0.9353719388893351,8.126051633155566,-15.18306190245741,4.258648417853407,-1.9998829069343995,-12.793119061961836,3.2045940662949817,-2.8745377074984306,-1.6810577124890393,-0.9335499243470085,1.494579839378902
TCGA-05-4396-01,-2.150852016540478,-0.828933300673747,0.32334595856058224,-2.7859080668043523,2.0411830290397974,2.599679823296719,-2.12196774990917,0.8833006385398829,-3.429468149449536,0.3766633813469179,-0.17231186023881934,-4.994991695103093,2.510271564836411,-2.856219720056837
TCGA-05-4397-01,0.4874009722508536,-1.410262262006102,1.2811810764552283,0.010014076790417624,-4.644928013555985,-2.091233452595558,-4.8470433622150795,4.1618658037684035,2.7740937068869966,2.276335329143736,3.1833331696071676,-3.1629480928950913,2.568642840156148,-3.338154717599852
