,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14
SNORA81|ENSG00000253092.1_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
YEATS2_CNV,0.34440298135610037,0.01989665273322908,0.10492366416672459,0.0003750036823902025,-0.08054249682603,-0.04886140575714979,0.0034925363547226446,-0.000329043929077055,0.00014537729876239853,0.0003255795707551522,0.06665841799828252,-0.013020371632948358,0.016090790489763765,-0.05087948480061101
FXR1_CNV,0.33385778216666473,0.01784999849907863,0.1085802131456947,0.0004541724247903175,-0.07631666546698175,-0.050352306059683015,0.0007976362976297666,0.001721260086187708,5.821232624494651e-05,0.0018580823165366342,0.06035435716515696,-6.274094921732144e-05,0.018002277208330805,-0.04688861701348954
CCDC39_CNV,0.33234223510478117,0.014739881410305173,0.10792292513777917,0.000743643918287307,-0.07689469626847388,-0.04759885358008623,0.0006389524124314167,0.001340714781582405,2.0857018620319933e-05,0.0011239566716435034,0.06341151705942345,-0.000113657170743615,0.01615696281496753,-0.04504224936001071
DNAJC19_CNV,0.3321990651351731,0.016824439757603737,0.10795643419065121,0.000760954002165126,-0.07542826656818413,-0.051587402082370296,0.001195810529348606,0.00185304239612091,5.676238472053584e-05,0.0013871279341910595,0.06126090222091217,2.203858564832461e-05,0.01817635549544163,-0.04894448674933159
ABCF3_CNV,0.3314894186706995,0.017460567403676276,0.10113010233785164,0.0007128926455682762,-0.07670144663717036,-0.04717879686346445,0.0009813336370227228,0.000107205064554093,-1.75238217685468e-05,0.0016309689774010045,0.06967008119013875,-0.013256113705060756,0.021676473967686537,-0.04715339943382074
RN7SL229P_CNV,0.3289438503380177,0.014823077568998396,0.10647774841186809,0.0011090063010229807,-0.07580654990631691,-0.04862090277094068,0.0006489729410045773,0.0038027004090063613,2.4631651946341126e-05,0.0022608506849378257,0.061820330236442164,-5.763422529500899e-05,0.015944212561104128,-0.04654369814909637
KCNMB2_CNV,0.3298496717208333,0.008870978167641486,0.10276172127354065,0.000611962639437939,-0.07776487549730891,-0.04954994838213909,0.0012020748736174425,0.0009288216663616567,0.00037477019765714615,0.01050753052087438,0.060301842673753756,-0.005255832578851108,0.018724265974776073,-0.04808089761800434
U8|ENSG00000201810.1_CNV,0.3280327437191719,0.012952467369255104,0.10461896029141528,0.0009571146183820043,-0.07732867220933029,-0.0471591287271188,0.0010281617681615156,0.0014090298036635418,-4.769369952326714e-05,0.004490972634623942,0.06263132421540055,9.856701645729048e-05,0.017342595414039135,-0.04752432648896807
NAALADL2_CNV,0.32467406332187804,0.0014189072305714708,0.1063131864877803,0.0014456096705867411,-0.06886866321712382,-0.05198401518285819,0.00014182032690961995,0.005190592127028061,0.00024419961395857355,0.004148223660622353,0.06410954829570363,-0.005594806854132374,0.024534365334180474,-0.056615613737785245
TTC14_CNV,0.32595171835972875,0.009902671293770563,0.10399753152249394,0.0005519474168462035,-0.07597518130608405,-0.045397559871780686,0.00036965724150841143,0.006139821699947664,-6.250449665305841e-05,0.0026932817747086064,0.061948822056725014,0.00011847875708304458,0.016058652713829308,-0.04618442646725904
RNA5SP148_CNV,0.32688160740996236,0.006119756116766583,0.09974050826841714,0.0011890716567162965,-0.07810950383357453,-0.048601045584962185,0.0024703846425838403,0.0009984158993570913,7.960590795035952e-05,0.012484504898595454,0.06250946633466048,-0.0015013800782354494,0.01880385895282492,-0.051072739371476626
